Time (s),Bx (µT),Bz (µT),ωy (rad/s),Voltage (mV)
0.009999999776482582,31.67291259765625,-4.467852592468262,-1.7596441507339478,0.021977625787258148
0.019999999552965164,29.423322677612305,-12.204087257385254,-1.791637897491455,0.01936238445341587
0.029999999329447746,29.617433547973633,-11.536551475524902,-1.7650277614593506,0.021976830437779427
0.03999999910593033,30.793642044067383,-7.491621971130371,-1.7880487442016602,0.019342198967933655
0.05000000074505806,25.737545013427734,-17.716129302978516,-8.983622550964355,-0.012563638389110565
0.05999999865889549,-9.269824981689453,-29.80491065979004,-14.41360092163086,-0.018842119723558426
0.07000000029802322,-20.625669479370117,-29.057161331176758,-18.156564712524414,-0.023029601201415062
0.07999999821186066,-26.098365783691406,-25.131864547729492,-21.330291748046875,-0.027739256620407104
0.09000000357627869,-30.469911575317383,-20.035810470581055,-23.121583938598633,-0.03192188963294029
0.10000000149011612,-33.99359130859375,-13.676603317260742,-23.48496437072754,-0.03296941891312599
0.10999999940395355,-35.88021469116211,-7.798572540283203,-23.35138702392578,-0.03453514352440834
0.11999999731779099,-35.976898193359375,-0.5249563455581665,-23.25760269165039,-0.0334865041077137
0.12999999523162842,-34.89575958251953,6.905762195587158,-23.153818130493164,-0.03139200806617737
0.14000000059604645,-32.91616439819336,13.570090293884277,-23.038915634155273,-0.028775179758667946
0.15000000596046448,-30.171894073486328,19.116275787353516,-22.92329978942871,-0.026153583079576492
0.1599999964237213,-26.503456115722656,24.21796226501465,-22.805309295654297,-0.021442020311951637
0.17000000178813934,-21.01449966430664,28.35646629333496,-22.669225692749023,-0.016208361834287643
0.18000000715255737,-15.152756690979004,31.64872169494629,-22.539365768432617,-0.010968983173370361
0.1899999976158142,-8.343243598937988,34.14607620239258,-22.392959594726562,-0.003644882468506694
0.20000000298023224,-0.5255518555641174,35.35014724731445,-22.229843139648438,0.0026355059817433357
0.20999999344348907,7.71877384185791,34.32439422607422,-22.06903648376465,0.008910886943340302
0.2199999988079071,14.846022605895996,32.438987731933594,-21.91043472290039,0.013612436130642891
0.23000000417232513,21.137245178222656,26.041961669921875,-21.73961067199707,0.015705900266766548
0.23999999463558197,26.27025032043457,18.813188552856445,-21.572988510131836,0.017791731283068657
0.25,30.01378631591797,11.09253978729248,-21.400285720825195,0.017793718725442886
0.25999999046325684,32.11869812011719,1.908892273902893,-21.232280731201172,0.018306754529476166
0.27000001072883606,31.385007858276367,-7.074512958526611,-21.058218002319336,0.01621328853070736
0.2800000011920929,29.112224578857422,-13.758749961853027,-20.880678176879883,0.014119827188551426
0.28999999165534973,25.47361946105957,-20.08040428161621,-20.695667266845703,0.012021753937005997
0.30000001192092896,20.677165985107422,-25.785873413085938,-20.495624542236328,0.008879175409674644
0.3100000023841858,15.10498046875,-30.101821899414062,-20.288677215576172,0.005215615499764681
0.3199999928474426,9.44510555267334,-32.0981330871582,-20.077930450439453,0.0015520555898547173
0.33000001311302185,2.7130892276763916,-33.68191146850586,-19.85806655883789,-0.002119372831657529
0.3400000035762787,-4.099722385406494,-33.45804214477539,-19.6363468170166,-0.007350327912718058
0.3499999940395355,-10.427258491516113,-32.665279388427734,-19.412944793701172,-0.012063400819897652
0.36000001430511475,-15.999484062194824,-31.525253295898438,-19.185781478881836,-0.017282750457525253
0.3700000047683716,-20.925670623779297,-28.419879913330078,-18.952938079833984,-0.01990251988172531
0.3799999952316284,-26.060659408569336,-24.87262535095215,-18.71521759033203,-0.023036673665046692
0.38999998569488525,-29.997520446777344,-20.731586456298828,-18.489105224609375,-0.02512393891811371
