Time (s),Fᵧ (N),rᵧ (m)
18.729999542236328,-1.0567375421524048,0.15609091520309448
18.739999771118164,-1.042673110961914,0.15563564002513885
18.75,-1.033015489578247,0.15508992969989777
18.760000228881836,-1.033015489578247,0.15463417768478394
18.770000457763672,-1.033015489578247,0.15408895909786224
18.780000686645508,-1.0276241302490234,0.1536884754896164
18.790000915527344,-1.017919659614563,0.15328799188137054
18.799999237060547,-1.0039958953857422,0.1528312712907791
18.809999465942383,-0.9985342025756836,0.15228702127933502
18.81999969482422,-0.9943148493766785,0.1518298089504242
18.829999923706055,-0.9846572875976562,0.15117211639881134
18.84000015258789,-0.9791252613067627,0.15042835474014282
18.850000381469727,-0.9653186202049255,0.14982764422893524
18.860000610351562,-0.9597396850585938,0.1491692066192627
18.8700008392334,-0.9612399339675903,0.14842619001865387
18.8799991607666,-0.9500352740287781,0.1478254497051239
18.889999389648438,-0.9459800124168396,0.14716629683971405
18.899999618530273,-0.9363223910331726,0.14642399549484253
18.90999984741211,-0.9306263327598572,0.14582327008247375
18.920000076293945,-0.9266414046287537,0.1451633870601654
18.93000030517578,-0.911240816116333,0.14442183077335358
18.940000534057617,-0.9073027968406677,0.1438210904598236
18.950000762939453,-0.9015129208564758,0.14322036504745483
18.959999084472656,-0.8976218104362488,0.14261963963508606
18.969999313354492,-0.8821274042129517,0.14207929372787476
18.979999542236328,-0.8686255216598511,0.1416787952184677
18.989999771118164,-0.8686255216598511,0.14127831161022186
19,-0.8686255216598511,0.14087781310081482
19.010000228881836,-0.853037416934967,0.14047732949256897
19.020000457763672,-0.8589444756507874,0.14007684588432312
19.030000686645508,-0.8492869138717651,0.139614537358284
19.040000915527344,-0.8492868542671204,0.13901381194591522
19.049999237060547,-0.8396293520927429,0.13841308653354645
19.059999465942383,-0.8335816264152527,0.13787490129470825
19.06999969482422,-0.8238771557807922,0.13741162419319153
19.079999923706055,-0.8202672600746155,0.13681089878082275
19.09000015258789,-0.8106096982955933,0.13627345860004425
19.100000381469727,-0.8106096982955933,0.13580945134162903
