Time (s),Ay (m/s²),Fᵧ (N),rᵧ (m)
0.009999999776482582,-8.580446243286133,-1.1300698518753052,-0.013682056218385696
0.019999999552965164,-8.315835952758789,-1.0618722438812256,-0.017031395807862282
0.029999999329447746,-8.586174964904785,-1.1299430131912231,-0.020494183525443077
0.03999999910593033,-8.161857604980469,-1.0600974559783936,-0.027321886271238327
0.05000000074505806,-5.462846279144287,-0.6254485845565796,-0.033956971019506454
0.05999999865889549,-5.215999603271484,-0.557092547416687,-0.040782827883958817
0.07000000029802322,-4.974955081939697,-0.5056432485580444,-0.04740683734416962
0.07999999821186066,-4.6184797286987305,-0.43731889128685,-0.05382160842418671
0.09000000357627869,-4.385243892669678,-0.3858379125595093,-0.05984099954366684
0.10000000149011612,-4.044376373291016,-0.3349432051181793,-0.06564930826425552
0.10999999940395355,-3.7912275791168213,-0.3004007339477539,-0.07105392217636108
0.11999999731779099,-3.599266290664673,-0.2577930986881256,-0.07605484873056412
0.12999999523162842,-3.4420056343078613,-0.223361536860466,-0.08065208047628403
0.14000000059604645,-3.0437707901000977,-0.17246684432029724,-0.08485855162143707
0.15000000596046448,-3.1298770904541016,-0.1553540676832199,-0.0888354629278183
0.1599999964237213,-3.0797317028045654,-0.13824127614498138,-0.09222160279750824
0.17000000178813934,-3.055086612701416,-0.12112849205732346,-0.09518836438655853
0.18000000715255737,-3.049605131149292,-0.11284146457910538,-0.09756619483232498
0.1899999976158142,-3.107483386993408,-0.11284146457910538,-0.09952280670404434
0.20000000298023224,-3.203737497329712,-0.10430092364549637,-0.1008923351764679
0.20999999344348907,-3.3216488361358643,-0.11284146457910538,-0.10185816884040833
0.2199999988079071,-3.447324275970459,-0.11284146457910538,-0.10242030769586563
0.23000000417232513,-3.5029640197753906,-0.12211089581251144,-0.10257875919342041
0.23999999463558197,-3.678299903869629,-0.1559561789035797,-0.10228920727968216
0.25,-4.2177557945251465,-0.1734650880098343,-0.10123841464519501
0.25999999046325684,-3.8460302352905273,-0.19873815774917603,-0.09975992888212204
0.27000001072883606,-4.402323246002197,-0.2252470999956131,-0.09767590463161469
0.2800000011920929,-4.762763977050781,-0.27614179253578186,-0.09501218795776367
0.28999999165534973,-4.865384578704834,-0.3193674385547638,-0.09194478392601013
0.30000001192092896,-5.131118297576904,-0.362165242433548,-0.08847368508577347
0.3100000023841858,-5.763479232788086,-0.42204412817955017,-0.08459889143705368
0.3199999928474426,-5.77093505859375,-0.47388955950737,-0.08034995198249817
0.33000001311302185,-6.1984148025512695,-0.5332772731781006,-0.07583823055028915
0.3400000035762787,-6.200794219970703,-0.5936948657035828,-0.07081513851881027
0.3499999940395355,-6.964223861694336,-0.6621459722518921,-0.06572742015123367
0.36000001430511475,-7.221756935119629,-0.7214861512184143,-0.06026925519108772
0.3700000047683716,-7.957408428192139,-0.7819513082504272,-0.05457506701350212
0.3799999952316284,-8.508281707763672,-0.8504024744033813,-0.04854736849665642
0.38999998569488525,-8.729629516601562,-0.9273941516876221,-0.04248365759849548
0.4000000059604645,-8.608452796936035,-0.9873047471046448,-0.03621809929609299
0.4099999964237213,-9.331854820251465,-1.0557559728622437,-0.0297885499894619
0.41999998688697815,-9.764155387878418,-1.1248724460601807,-0.02335900440812111
0.4300000071525574,-10.626060485839844,-1.2012145519256592,-0.01692945696413517
0.4399999976158142,-10.490654945373535,-1.2604280710220337,-0.010499907657504082
0.44999998807907104,-11.406366348266602,-1.3203067779541016,-0.004111912101507187
