Time (s),Voltage (mV),Voltage (V)
0.009999999776482582,-0.048665620386600494,0
0.019999999552965164,-0.048665616661310196,0
0.029999999329447746,-0.048665620386600494,0
0.03999999910593033,-0.04866885021328926,0
0.05000000074505806,-0.04918890818953514,0
0.05999999865889549,-0.04918890818953514,0
0.07000000029802322,-0.049183253198862076,0
0.07999999821186066,-0.048933323472738266,0
0.09000000357627869,-0.0489203967154026,0
0.10000000149011612,-0.04867370054125786,0
0.10999999940395355,-0.04918890818953514,0
0.11999999731779099,-0.04918890818953514,0
0.12999999523162842,-0.04918890446424484,0
0.14000000059604645,-0.04918890446424484,0
0.15000000596046448,-0.04918890818953514,0
0.1599999964237213,-0.04918890818953514,0
0.17000000178813934,-0.04920264333486557,0
0.18000000715255737,-0.04942186549305916,0
0.1899999976158142,-0.048942212015390396,0
0.20000000298023224,-0.04918890818953514,0
0.20999999344348907,-0.04918890818953514,0
0.2199999988079071,-0.04918890818953514,0
0.23000000417232513,-0.04945014417171478,0
0.23999999463558197,-0.04916951432824135,0
0.25,-0.048947058618068695,0
0.25999999046325684,-0.04945014789700508,0
0.27000001072883606,-0.04918890818953514,0
0.2800000011920929,-0.04918890818953514,0
0.28999999165534973,-0.04918890818953514,0
0.30000001192092896,-0.04918890818953514,0
0.3100000023841858,-0.04918890818953514,0
0.3199999928474426,-0.04945014789700508,0
0.33000001311302185,-0.04918890446424484,0
0.3400000035762787,-0.049216378480196,0
0.3499999940395355,-0.04968391731381416,0
0.36000001430511475,-0.04921799153089523,0
0.3700000047683716,-0.04942106083035469,0
0.3799999952316284,-0.04918890818953514,0
0.38999998569488525,-0.04918890818953514,0
0.4000000059604645,-0.04918890818953514,0
0.4099999964237213,-0.04918890818953514,0
0.41999998688697815,-0.04915497079491615,0
0.4300000071525574,-0.04870035871863365,0
0.4399999976158142,-0.04915335774421692,0
0.44999998807907104,-0.04896321892738342,0
0.46000000834465027,-0.04918890818953514,0
0.4699999988079071,-0.04918890818953514,0
0.47999998927116394,-0.04922768846154213,0
0.49000000953674316,-0.049411363899707794,0
0.5,-0.0489276684820652,0
0.5099999904632568,-0.04918890818953514,0
0.5199999809265137,-0.04918890446424484,0
0.5299999713897705,-0.04914608597755432,0
0.5400000214576721,-0.04870925098657608,0
0.550000011920929,-0.04918890818953514,0
0.5600000023841858,-0.04918890818953514,0
0.5699999928474426,-0.04918890818953514,0
0.5799999833106995,-0.04918890818953514,0
0.5899999737739563,-0.04918890818953514,0
0.6000000238418579,-0.049237385392189026,0
0.6100000143051147,-0.0494016669690609,0
0.6200000047683716,-0.04918890446424484,0
0.6299999952316284,-0.04918890446424484,0
0.6399999856948853,-0.04918890818953514,0
0.6499999761581421,-0.04918890818953514,0
0.6600000262260437,-0.04913558065891266,0
0.6700000166893005,-0.048980992287397385,0
0.6800000071525574,-0.04918890818953514,0
0.6899999976158142,-0.04918890818953514,0
0.699999988079071,-0.04918890818953514,0
0.7099999785423279,-0.04918890446424484,0
0.7200000286102295,-0.0489276647567749,0
0.7300000190734863,-0.04918890818953514,0
0.7400000095367432,-0.04918890818953514,0
0.75,-0.04924950376152992,0
0.7599999904632568,-0.04938954859972,0
0.7699999809265137,-0.04918890818953514,0
0.7799999713897705,-0.04925192892551422,0
0.7900000214576721,-0.0493871234357357,0
0.800000011920929,-0.04918890818953514,0
