Time (s),Voltage (V)
0.009999999776482582,0.1023443266749382
0.019999999552965164,0.1023443266749382
0.029999999329447746,0.1023443266749382
0.03999999910593033,0.1023443266749382
0.05000000074505806,0.1023443266749382
0.05999999865889549,0.1023443266749382
0.07000000029802322,0.10224784165620804
0.07999999821186066,0.09440701454877853
0.09000000357627869,0.1031377837061882
0.10000000149011612,0.10223405808210373
0.10999999940395355,0.0960187315940857
0.11999999731779099,0.10236086696386337
0.12999999523162842,0.10313227027654648
0.14000000059604645,0.10236362367868423
0.15000000596046448,0.10312951356172562
0.1599999964237213,0.1023443266749382
0.17000000178813934,0.10222716629505157
0.18000000715255737,0.09846387803554535
0.1899999976158142,0.10312400013208389
0.20000000298023224,0.10220649093389511
0.20999999344348907,0.09845974296331406
0.2199999988079071,0.1023443266749382
0.23000000417232513,0.1023443266749382
0.23999999463558197,0.10231124609708786
0.25,0.1015729233622551
0.25999999046325684,0.1023443266749382
0.27000001072883606,0.1023443266749382
0.2800000011920929,0.1023443266749382
0.28999999165534973,0.1023443266749382
0.30000001192092896,0.1023443266749382
0.3100000023841858,0.10238705575466156
0.3199999928474426,0.10310608148574829
0.33000001311302185,0.1023443266749382
0.3400000035762787,0.1023443266749382
0.3499999940395355,0.10239256918430328
0.36000001430511475,0.10310056805610657
0.3700000047683716,0.1023443266749382
0.3799999952316284,0.10239670425653458
0.38999998569488525,0.10309644043445587
0.4000000059604645,0.1023443266749382
0.4099999964237213,0.1023443266749382
0.41999998688697815,0.1024022176861763
0.4300000071525574,0.10320945829153061
0.4399999976158142,0.10383475571870804
0.44999998807907104,0.10240635275840759
0.46000000834465027,0.10308678448200226
0.4699999988079071,0.1023443266749382
0.47999998927116394,0.10241048783063889
0.49000000953674316,0.10308264940977097
0.5,0.1023443266749382
0.5099999904632568,0.1023443266749382
0.5199999809265137,0.1023443266749382
0.5299999713897705,0.10241737961769104
0.5400000214576721,0.10315018892288208
0.550000011920929,0.10307437926530838
0.5600000023841858,0.10249870270490646
0.5699999928474426,0.10379891842603683
0.5799999833106995,0.1023443266749382
0.5899999737739563,0.10250696539878845
0.6000000238418579,0.1038733422756195
0.6100000143051147,0.10315018892288208
0.6200000047683716,0.10315018892288208
0.6299999952316284,0.10306335240602493
0.6399999856948853,0.1023443266749382
0.6499999761581421,0.10243391990661621
0.6600000262260437,0.10305921733379364
0.6700000166893005,0.1023443266749382
0.6800000071525574,0.1023443266749382
0.6899999976158142,0.10243943333625793
0.699999988079071,0.10315018892288208
0.7099999785423279,0.10324804484844208
0.7200000286102295,0.10385680198669434
0.7300000190734863,0.10315018892288208
0.7400000095367432,0.1029461994767189
0.75,0.10164184123277664
0.7599999904632568,0.1023443266749382
0.7699999809265137,0.10245046019554138
0.7799999713897705,0.10315018892288208
0.7900000214576721,0.10315018892288208
0.800000011920929,0.10315018892288208
0.8100000023841858,0.10303854942321777
0.8199999928474426,0.1023443266749382
0.8299999833106995,0.1023443266749382
0.8399999737739563,0.1024601086974144
0.8500000238418579,0.10291587561368942
0.8600000143051147,0.10165700316429138
0.8700000047683716,0.1023443266749382
0.8799999952316284,0.1023443266749382
0.8899999856948853,0.1023443266749382
0.8999999761581421,0.10259242355823517
0.9100000262260437,0.10370519012212753
0.9200000166893005,0.10247112810611725
0.9300000071525574,0.10315018892288208
0.9399999976158142,0.10315018892288208
0.949999988079071,0.10210265964269638
0.9599999785423279,0.0977618545293808
0.9700000286102295,0.10301649570465088
0.9800000190734863,0.10247940570116043
0.9900000095367432,0.10315018892288208
1,0.10315018892288208
1.0099999904632568,0.1032894030213356
1.0199999809265137,0.10367486625909805
1.0299999713897705,0.1023443266749382
1.0399999618530273,0.1023443266749382
1.0499999523162842,0.1023443266749382
1.059999942779541,0.1023443266749382
1.0700000524520874,0.1023443266749382
1.0800000429153442,0.1023443266749382
1.090000033378601,0.1023443266749382
1.100000023841858,0.1023443266749382
1.1100000143051147,0.1023443266749382
1.1200000047683716,0.1023443266749382
1.1299999952316284,0.1025000810623169
1.1399999856948853,0.10299306362867355
1.149999976158142,0.10266134142875671
1.159999966621399,0.10379616171121597
1.1699999570846558,0.10234387218952179
1.1799999475479126,0.09977145493030548
1.190000057220459,0.10250834375619888
1.2000000476837158,0.10331558436155319
1.2100000381469727,0.10362248867750168
1.2200000286102295,0.1023443266749382
1.2300000190734863,0.1023443266749382
1.2400000095367432,0.1023443266749382
1.25,0.10251661390066147
1.2599999904632568,0.10297652333974838
1.2699999809265137,0.10251937806606293
1.2799999713897705,0.10315018892288208
1.2899999618530273,0.10297238081693649
1.2999999523162842,0.10252350568771362
1.309999942779541,0.10296962410211563
1.3200000524520874,0.10252626240253448
1.3300000429153442,0.10296686738729477
1.340000033378601,0.10252901911735535
1.350000023841858,0.1029641181230545
1.3600000143051147,0.1023443266749382
1.3700000047683716,0.10253315418958664
1.3799999952316284,0.10315018892288208
1.3899999856948853,0.10334177315235138
1.399999976158142,0.1035701110959053
1.409999966621399,0.10253866761922836
1.4199999570846558,0.10295446217060089
1.4299999475479126,0.1023443266749382
1.440000057220459,0.1023443266749382
1.4500000476837158,0.1023443266749382
1.4600000381469727,0.1023443266749382
1.4700000286102295,0.10274955630302429
1.4800000190734863,0.10375205427408218
1.4900000095367432,0.10294481366872787
1.5,0.1023443266749382
1.5099999904632568,0.1023443266749382
1.5199999809265137,0.1025538295507431
1.5299999713897705,0.10293930023908615
1.5399999618530273,0.1023443266749382
1.5499999523162842,0.1025579646229744
1.559999942779541,0.10315018892288208
1.5700000524520874,0.10141901671886444
1.5800000429153442,0.09822772443294525
1.590000033378601,0.10256347805261612
1.600000023841858,0.10292965173721313
1.6100000143051147,0.1023443266749382
1.6200000047683716,0.1023443266749382
1.6299999952316284,0.10256899148225784
1.6399999856948853,0.10292414575815201
1.649999976158142,0.1023443266749382
1.659999966621399,0.1023443266749382
1.6699999570846558,0.10257450491189957
1.6799999475479126,0.10315018892288208
1.690000057220459,0.10291724652051926
1.7000000476837158,0.10257863998413086
1.7100000381469727,0.10315018892288208
1.7200000286102295,0.1033872589468956
1.7300000190734863,0.10371759533882141
1.7400000095367432,0.1029103621840477
1.75,0.1023443266749382
1.7599999904632568,0.10258691012859344
1.7699999809265137,0.1029062271118164
1.7799999713897705,0.10062693804502487
1.7899999618530273,0.0984303429722786
1.7999999523162842,0.10259243100881577
1.809999942779541,0.10290071368217468
1.8200000524520874,0.10134091228246689
1.8300000429153442,0.10038205236196518
1.840000033378601,0.10289657860994339
1.850000023841858,0.1023443266749382
1.8600000143051147,0.1023443266749382
1.8700000047683716,0.1023443266749382
1.8799999952316284,0.1023443266749382
1.8899999856948853,0.10260483622550964
1.899999976158142,0.10262642800807953
1.909999966621399,0.10180172324180603
1.9199999570846558,0.1023443266749382
1.9299999475479126,0.10048221051692963
1.940000057220459,0.09857507050037384
1.9500000476837158,0.1023443266749382
1.9600000381469727,0.1023443266749382
1.9700000286102295,0.1026158556342125
1.9800000190734863,0.10287728160619736
1.9900000095367432,0.10261861234903336
2,0.1028745174407959
2.009999990463257,0.1023443266749382
2.0199999809265137,0.10123064368963242
2.0299999713897705,0.10024008899927139
2.0399999618530273,0.10262550413608551
2.049999952316284,0.10230251401662827
2.059999942779541,0.10130047053098679
2.069999933242798,0.1026296392083168
2.0799999237060547,0.09999658167362213
