Time (s),Voltage (V),Voltage (V)
0.009999999776482582,0,0
0.019999999552965164,0,0
0.029999999329447746,0,0
0.03999999910593033,0,0
0.05000000074505806,0,0
0.05999999865889549,0,0
0.07000000029802322,0,0
0.07999999821186066,0,0
0.09000000357627869,0,0
0.10000000149011612,0,0
0.10999999940395355,0,0
0.11999999731779099,0,0
0.12999999523162842,0,0
0.14000000059604645,0,0
0.15000000596046448,0,0.000025156947231153026
0.1599999964237213,0,0.0015848876209929585
0.17000000178813934,0,0
0.18000000715255737,0,0
0.1899999976158142,0,0
0.20000000298023224,0,0
0.20999999344348907,0,0
0.2199999988079071,0,0
0.23000000417232513,0,0
0.23999999463558197,0,0
0.25,0,0
0.25999999046325684,0,0
0.27000001072883606,0,0.000022641252144239843
0.2800000011920929,0,0.0007823810447007418
0.28999999165534973,0,0
0.30000001192092896,0,0
0.3100000023841858,0,0
0.3199999928474426,0,0.000026834075470105745
0.33000001311302185,0,0.0007781882304698229
0.3400000035762787,0,0
0.3499999940395355,0,0
0.36000001430511475,0,0
0.3700000047683716,0,0
0.3799999952316284,0,0
0.38999998569488525,0,0
0.4000000059604645,0,0
0.4099999964237213,0,0
0.41999998688697815,0,0
0.4300000071525574,0,0
0.4399999976158142,0,0
0.44999998807907104,0,0
0.46000000834465027,0,0
0.4699999988079071,0,0
0.47999998927116394,0,0
0.49000000953674316,0,0
0.5,0,0
0.5099999904632568,0,0
0.5199999809265137,0,0
0.5299999713897705,0,0
0.5400000214576721,0,0
0.550000011920929,0,0
0.5600000023841858,0,0
0.5699999928474426,0,0
0.5799999833106995,0,0
0.5899999737739563,0,0
0.6000000238418579,0,0
0.6100000143051147,0,0
0.6200000047683716,0,0
0.6299999952316284,0,0
0.6399999856948853,0,0
0.6499999761581421,0,0
0.6600000262260437,0,0
0.6700000166893005,0,0
0.6800000071525574,0,0
0.6899999976158142,0,0
0.699999988079071,0,0
0.7099999785423279,0,0.00005953810614300892
0.7200000286102295,0,0.0007454841979779303
0.7300000190734863,0,0
0.7400000095367432,0,0
0.75,0,0
0.7599999904632568,0,0
0.7699999809265137,0,0
0.7799999713897705,0,0
0.7900000214576721,0,0
0.800000011920929,0,0
0.8100000023841858,0,0
0.8199999928474426,0,0
0.8299999833106995,0,0
0.8399999737739563,0,0
0.8500000238418579,0,0
0.8600000143051147,0,0
0.8700000047683716,0,0
0.8799999952316284,0,0.00007379370799753815
0.8899999856948853,0,0.0008058608509600163
0.8999999761581421,0,0.0007303900201804936
0.9100000262260437,0,0
0.9200000166893005,0,0
0.9300000071525574,0,0
0.9399999976158142,0,0
0.949999988079071,0,0
0.9599999785423279,0,0
0.9700000286102295,0,0
0.9800000190734863,0,0
0.9900000095367432,0,0
1,0,0
1.0099999904632568,0,0
1.0199999809265137,0,0
1.0299999713897705,0,0.00008637217979412526
1.0399999618530273,0,0.0007186501170508564
1.0499999523162842,0,0
1.059999942779541,0,0
1.0700000524520874,0,0
1.0800000429153442,0,0
1.090000033378601,0,0.00009140356996795163
1.100000023841858,0,0.0008981029968708754
1.1100000143051147,0,0.0014255603309720755
1.1200000047683716,0,0
1.1299999952316284,0,0
1.1399999856948853,0,0
1.149999976158142,0,0.00009643496014177799
1.159999966621399,0,0.0007085873512551188
1.1699999570846558,0,0.00019622418039944023
1.1799999475479126,0,0.0014138204278424382
1.190000057220459,0,0
