Time (s),Voltage (mV),Voltage (V)
0.009999999776482582,-1.0711668729782104,1.7656497955322266
0.019999999552965164,-1.071166753768921,1.770458698272705
0.029999999329447746,-1.0711668729782104,1.7656673192977905
0.03999999910593033,-1.0711668729782104,1.770476222038269
0.05000000074505806,-1.0711668729782104,1.7703959941864014
0.05999999865889549,-1.071166753768921,1.76170814037323
0.07000000029802322,-1.0711668729782104,1.7703639268875122
0.07999999821186066,-1.0711668729782104,1.7617168426513672
0.09000000357627869,-1.0711668729782104,1.7687463760375977
0.10000000149011612,-1.0711668729782104,1.7616846561431885
0.10999999940395355,-1.0711668729782104,1.7657374143600464
0.11999999731779099,-1.0711668729782104,1.770476222038269
0.12999999523162842,-1.0711668729782104,1.770438313484192
0.14000000059604645,-1.0711668729782104,1.768803358078003
0.15000000596046448,-1.0711668729782104,1.7665563821792603
0.1599999964237213,-1.0711668729782104,1.770499587059021
0.17000000178813934,-1.0711668729782104,1.7709845304489136
0.18000000715255737,-1.0711668729782104,1.7617692947387695
0.1899999976158142,-1.0711668729782104,1.7665855884552002
0.20000000298023224,-1.0711668729782104,1.770447015762329
0.20999999344348907,-1.0711668729782104,1.7696703672409058
0.2199999988079071,-1.0711668729782104,1.769734501838684
0.23000000417232513,-1.0711668729782104,1.771248459815979
0.23999999463558197,-1.0711668729782104,1.770476222038269
0.25,-1.0711668729782104,1.770403265953064
0.25999999046325684,-1.0711668729782104,1.7689404487609863
0.27000001072883606,-1.0711668729782104,1.770476222038269
0.2800000011920929,-1.0711668729782104,1.770476222038269
0.28999999165534973,-1.0711668729782104,1.770391583442688
0.30000001192092896,-1.0711668729782104,1.7689082622528076
0.3100000023841858,-1.0711668729782104,1.7692182064056396
0.3199999928474426,-1.0711668729782104,1.7621252536773682
0.33000001311302185,-1.0711668729782104,1.770235538482666
0.3400000035762787,-1.0711668729782104,1.7664469480514526
0.3499999940395355,-1.0711668729782104,1.7667021751403809
0.36000001430511475,-1.0711668729782104,1.770476222038269
0.3700000047683716,-1.0711668729782104,1.7705302238464355
0.3799999952316284,-1.0711668729782104,1.7709496021270752
0.38999998569488525,-1.0711668729782104,1.7661056518554688
0.4000000059604645,-1.0711668729782104,1.7621952295303345
0.4099999964237213,-1.0711668729782104,1.7697302103042603
0.41999998688697815,-1.0711668729782104,1.7698023319244385
0.4300000071525574,-1.0711668729782104,1.7623016834259033
0.4399999976158142,-1.0711668729782104,1.7698986530303955
0.44999998807907104,-1.0711668729782104,1.7634860277175903
0.46000000834465027,-1.0711668729782104,1.7661786079406738
0.4699999988079071,-1.0711668729782104,1.7634291648864746
0.47999998927116394,-1.0711668729782104,1.7656410932540894
0.49000000953674316,-1.0711668729782104,1.7661412954330444
0.5,-1.0711668729782104,1.7706257104873657
0.5099999904632568,-1.0711668729782104,1.764475703239441
0.5199999809265137,-1.0711668729782104,1.769016146659851
0.5299999713897705,-1.0711668729782104,1.7696257829666138
0.5400000214576721,-1.0711668729782104,1.7620843648910522
0.550000011920929,-1.0711668729782104,1.7669283151626587
0.5600000023841858,-1.0711668729782104,1.7711187601089478
0.5699999928474426,-1.0711668729782104,1.7692546844482422
0.5799999833106995,-1.0711668729782104,1.7661486864089966
0.5899999737739563,-1.0711668729782104,1.770476222038269
0.6000000238418579,-1.0711668729782104,1.7700386047363281
0.6100000143051147,-1.0711668729782104,1.7668918371200562
0.6200000047683716,-1.0711668729782104,1.7701144218444824
0.6299999952316284,-1.0711668729782104,1.7666095495224
0.6399999856948853,-1.0711668729782104,1.7626386880874634
0.6499999761581421,-1.0711668729782104,1.770476222038269
0.6600000262260437,-1.0711668729782104,1.769706130027771
0.6700000166893005,-1.0711668729782104,1.7648112773895264
0.6800000071525574,-1.0711668729782104,1.769286036491394
0.6899999976158142,-1.0711668729782104,1.7620136737823486
0.699999988079071,-1.0711668729782104,1.7693531513214111
0.7099999785423279,-1.0711668729782104,1.7626473903656006
0.7200000286102295,-1.0711668729782104,1.7694603204727173
0.7300000190734863,-1.0711668729782104,1.768271565437317
0.7400000095367432,-1.0711668729782104,1.7697783708572388
0.75,-1.0711668729782104,1.7692729234695435
0.7599999904632568,-1.0711668729782104,1.7615009546279907
0.7699999809265137,-1.0711668729782104,1.7621536254882812
0.7799999713897705,-1.0711668729782104,1.7699073553085327
0.7900000214576721,-1.0711668729782104,1.7670230865478516
0.800000011920929,-1.0711668729782104,1.770476222038269
0.8100000023841858,-1.0711668729782104,1.770476222038269
0.8199999928474426,-1.0711668729782104,1.77035653591156
