index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00998261,44,0.0354579
1,11,0,0.0199652,42,0.0338462
2,12,0,0.0299478,41,0.0330403
3,13,0,0.0399304,42,0.0338462
4,14,0,0.049913,42,0.0338462
5,15,0,0.0598957,41,0.0330403
6,16,0,0.0698783,44,0.0354579
7,17,0,0.0798609,41,0.0330403
8,18,0,0.0898435,43,0.034652
9,19,0,0.0998261,40,0.0322344
10,20,0,0.109809,42,0.0338462
11,21,0,0.119791,41,0.0330403
12,22,0,0.129774,40,0.0322344
13,23,0,0.139757,44,0.0354579
14,24,0,0.149739,42,0.0338462
15,25,0,0.159722,43,0.034652
16,26,0,0.169704,43,0.034652
17,27,0,0.179687,41,0.0330403
18,28,0,0.18967,44,0.0354579
19,29,0,0.199652,44,0.0354579
20,30,0,0.209635,41,0.0330403
21,31,0,0.219617,43,0.034652
22,32,0,0.2296,41,0.0330403
23,33,0,0.239583,42,0.0338462
24,34,0,0.249565,45,0.0362637
25,35,0,0.259548,43,0.034652
26,36,0,0.26953,41,0.0330403
27,37,0,0.279513,43,0.034652
28,38,0,0.289496,44,0.0354579
29,39,0,0.299478,43,0.034652
30,40,0,0.309461,41,0.0330403
31,41,0,0.319443,44,0.0354579
32,42,0,0.329426,42,0.0338462
33,43,0,0.339409,43,0.034652
34,44,0,0.349391,41,0.0330403
35,45,0,0.359374,43,0.034652
36,46,0,0.369357,41,0.0330403
37,47,0,0.379339,43,0.034652
38,48,0,0.389322,44,0.0354579
39,49,0,0.399304,41,0.0330403
40,50,0,0.409287,44,0.0354579
41,51,0,0.41927,44,0.0354579
42,52,0,0.429252,43,0.034652
43,53,0,0.439235,44,0.0354579
44,54,0,0.449217,44,0.0354579
45,55,0,0.4592,43,0.034652
46,56,0,0.469183,42,0.0338462
47,57,0,0.479165,44,0.0354579
48,58,0,0.489148,40,0.0322344
49,59,0,0.49913,43,0.034652
50,60,0,0.509113,44,0.0354579
51,61,0,0.519096,41,0.0330403
52,62,0,0.529078,43,0.034652
53,63,0,0.539061,44,0.0354579
54,64,0,0.549043,42,0.0338462
55,65,0,0.559026,43,0.034652
56,66,0,0.569009,41,0.0330403
57,67,0,0.578991,43,0.034652
58,68,0,0.588974,42,0.0338462
59,69,0,0.598957,44,0.0354579
60,70,0,0.608939,43,0.034652
61,71,0,0.618922,42,0.0338462
62,72,0,0.628904,43,0.034652
63,73,0,0.638887,42,0.0338462
64,74,0,0.64887,43,0.034652
65,75,0,0.658852,42,0.0338462
66,76,0,0.668835,41,0.0330403
67,77,0,0.678817,44,0.0354579
68,78,0,0.6888,44,0.0354579
69,79,0,0.698783,44,0.0354579
70,80,0,0.708765,44,0.0354579
71,81,0,0.718748,42,0.0338462
72,82,0,0.72873,40,0.0322344
73,83,0,0.738713,42,0.0338462
74,84,0,0.748696,41,0.0330403
75,85,0,0.758678,45,0.0362637
76,86,0,0.768661,40,0.0322344
77,87,0,0.778643,43,0.034652
78,88,0,0.788626,44,0.0354579
79,89,0,0.798609,43,0.034652
80,90,0,0.808591,44,0.0354579
81,91,0,0.818574,42,0.0338462
82,92,0,0.828557,42,0.0338462
83,93,0,0.838539,43,0.034652
84,94,0,0.848522,42,0.0338462
85,95,0,0.858504,43,0.034652
86,96,0,0.868487,43,0.034652
87,97,0,0.87847,40,0.0322344
88,98,0,0.888452,41,0.0330403
89,99,0,0.898435,44,0.0354579
90,100,0,0.908417,44,0.0354579
91,101,0,0.9184,42,0.0338462
92,102,0,0.928383,42,0.0338462
93,103,0,0.938365,44,0.0354579
94,104,0,0.948348,40,0.0322344
95,105,0,0.95833,44,0.0354579
96,106,0,0.968313,43,0.034652
97,107,0,0.978296,43,0.034652
98,108,0,0.988278,45,0.0362637
99,109,0,0.998261,44,0.0354579
100,110,0,1.00824,42,0.0338462
101,111,0,1.01823,41,0.0330403
102,112,0,1.02821,41,0.0330403
103,113,0,1.03819,44,0.0354579
104,114,0,1.04817,44,0.0354579
105,115,0,1.05816,43,0.034652
106,116,0,1.06814,43,0.034652
107,117,0,1.07812,40,0.0322344
108,118,0,1.0881,44,0.0354579
109,119,0,1.09809,40,0.0322344
110,120,0,1.10807,43,0.034652
111,121,0,1.11805,44,0.0354579
112,122,0,1.12803,42,0.0338462
113,123,0,1.13802,41,0.0330403
114,124,0,1.148,44,0.0354579
115,125,0,1.15798,41,0.0330403
116,126,0,1.16797,42,0.0338462
117,127,0,1.17795,43,0.034652
118,128,0,1.18793,41,0.0330403
119,129,0,1.19791,43,0.034652
120,130,0,1.2079,40,0.0322344
121,131,0,1.21788,40,0.0322344
122,132,0,1.22786,43,0.034652
123,133,0,1.23784,43,0.034652
124,134,0,1.24783,41,0.0330403
125,135,0,1.25781,40,0.0322344
126,136,0,1.26779,43,0.034652
127,137,0,1.27777,43,0.034652
128,138,0,1.28776,43,0.034652
129,139,0,1.29774,40,0.0322344
