Time (s),Voltage (mV),Voltage (V)
0.009999999776482582,-0.014652014710009098,1.7672556638717651
0.019999999552965164,-0.014650625176727772,1.7704747915267944
0.029999999329447746,-0.014392108656466007,1.7696725130081177
0.03999999910593033,-0.014652014710009098,1.7704620361328125
0.05000000074505806,-0.014648539014160633,1.7664647102355957
0.05999999865889549,-0.014132898300886154,1.770476222038269
0.07000000029802322,-0.014652013778686523,1.770476222038269
0.07999999821186066,-0.014652014710009098,1.7704133987426758
0.09000000357627869,-0.014652014710009098,1.7616825103759766
0.10000000149011612,-0.014383770525455475,1.7704476118087769
0.10999999940395355,-0.014390024356544018,1.767252802848816
0.11999999731779099,-0.014398363418877125,1.7672014236450195
0.12999999523162842,-0.014652014710009098,1.7625197172164917
0.14000000059604645,-0.014380989596247673,1.7712820768356323
0.15000000596046448,-0.014400447718799114,1.7712820768356323
0.1599999964237213,-0.014640895649790764,1.7712820768356323
0.17000000178813934,-0.014390024356544018,1.7712700366973877
0.18000000715255737,-0.0141287287697196,1.7703349590301514
0.1899999976158142,-0.0141287287697196,1.761760950088501
0.20000000298023224,-0.014390024356544018,1.770476222038269
0.20999999344348907,-0.014390024356544018,1.7704912424087524
0.2199999988079071,-0.014128729701042175,1.7710936069488525
0.23000000417232513,-0.014144713059067726,1.7617924213409424
0.23999999463558197,-0.01463533565402031,1.770476222038269
0.25,-0.014390023425221443,1.7704049348831177
0.25999999046325684,-0.0141287287697196,1.7673269510269165
0.27000001072883606,-0.014147492125630379,1.770476222038269
0.2800000011920929,-0.014652014710009098,1.770476222038269
0.28999999165534973,-0.014370566233992577,1.770372748374939
0.30000001192092896,-0.014128729701042175,1.7665539979934692
0.3100000023841858,-0.014150272123515606,1.770232915878296
0.3199999928474426,-0.014368481002748013,1.7618629932403564
0.33000001311302185,-0.014151661656796932,1.770476222038269
0.3400000035762787,-0.014628386124968529,1.7705005407333374
0.3499999940395355,-0.0141287287697196,1.7712571620941162
0.36000001430511475,-0.014153745956718922,1.7703477144241333
0.3700000047683716,-0.014365007169544697,1.766579031944275
0.3799999952316284,-0.014390024356544018,1.7705034017562866
0.38999998569488525,-0.014128729701042175,1.770948052406311
0.4000000059604645,-0.014128729701042175,1.761611819267273
0.4099999964237213,-0.014390023425221443,1.76193368434906
0.41999998688697815,-0.014390023425221443,1.770476222038269
0.4300000071525574,-0.014158611185848713,1.770476222038269
0.4399999976158142,-0.014360141940414906,1.770476222038269
0.44999998807907104,-0.014390024356544018,1.770283579826355
