Time (s),Ay (m/s²),Fᵧ (N)
0.004999999888241291,-7.614627838134766,0.3342042565345764
0.009999999776482582,-7.662730693817139,0.3213815689086914
0.014999999664723873,-7.802147388458252,0.3000103831291199
0.019999999552965164,-7.615569114685059,0.3342042565345764
0.02500000037252903,-7.667126178741455,0.3213815689086914
0.029999999329447746,-7.914541244506836,0.3000103831291199
0.03500000014901161,-9.446358680725098,0.05637899413704872
0.03999999910593033,-9.554550170898438,0.03928205743432045
0.04500000178813934,-9.66112995147705,0.017910880967974663
0.05000000074505806,-9.798440933227539,-0.012008762918412685
0.054999999701976776,-9.938028335571289,-0.0333799384534359
0.05999999865889549,-10.106257438659668,-0.059025343507528305
0.06499999761581421,-10.21288013458252,-0.08467075228691101
0.07000000029802322,-10.323113441467285,-0.09749346226453781
0.07500000298023224,-10.457995414733887,-0.12313886731863022
0.07999999821186066,-10.618245124816895,-0.1402358114719391
0.08500000089406967,-10.771203994750977,-0.16160698235034943
0.09000000357627869,-10.8787841796875,-0.17015545070171356
0.0949999988079071,-11.019538879394531,-0.19580085575580597
0.10000000149011612,-11.160348892211914,-0.22144626080989838
0.10499999672174454,-11.286598205566406,-0.2428174465894699
0.10999999940395355,-11.431642532348633,-0.26418861746788025
0.11500000208616257,-11.514443397521973,-0.2812855541706085
0.11999999731779099,-11.653111457824707,-0.3069309592247009
0.125,-11.763176918029785,-0.32830214500427246
0.12999999523162842,-11.859175682067871,-0.34112483263015747
0.13500000536441803,-11.952057838439941,-0.36677026748657227
0.14000000059604645,-12.06113052368164,-0.38386720418930054
0.14499999582767487,-12.130846977233887,-0.39668989181518555
0.15000000596046448,-12.263066291809082,-0.4137868583202362
0.1550000011920929,-12.346234321594238,-0.4266095459461212
0.1599999964237213,-12.43196964263916,-0.44798073172569275
0.16500000655651093,-12.520639419555664,-0.46080341935157776
0.17000000178813934,-12.608236312866211,-0.4821746051311493
0.17499999701976776,-12.670079231262207,-0.4949972927570343
0.18000000715255737,-12.821573257446289,-0.512094259262085
0.1850000023841858,-12.883296012878418,-0.5291911959648132
0.1899999976158142,-12.939159393310547,-0.5334654450416565
0.19499999284744263,-12.977765083312988,-0.5462881922721863
0.20000000298023224,-13.017781257629395,-0.554836630821228
0.20499999821186066,-13.05345344543457,-0.5633850693702698
0.20999999344348907,-13.078864097595215,-0.5719335675239563
0.2150000035762787,-13.104269981384277,-0.580482006072998
0.2199999988079071,-13.137689590454102,-0.5933047533035278
0.22499999403953552,-13.17593002319336,-0.5975789427757263
0.23000000417232513,-13.19346809387207,-0.5975789427757263
0.23499999940395355,-13.161808967590332,-0.6104016304016113
0.23999999463558197,-13.190959930419922,-0.6146758794784546
0.24500000476837158,-13.178838729858398,-0.6146758794784546
0.25,-13.203722953796387,-0.6146758794784546
0.2549999952316284,-13.188613891601562,-0.6146758794784546
0.25999999046325684,-13.172937393188477,-0.6189501285552979
0.26499998569488525,-13.116752624511719,-0.6189501285552979
0.27000001072883606,-13.139159202575684,-0.6189501285552979
0.2750000059604645,-13.116257667541504,-0.6146758794784546
0.2800000011920929,-13.1022310256958,-0.6146758794784546
0.2849999964237213,-13.07645320892334,-0.6104016304016113
0.28999999165534973,-13.026238441467285,-0.6061274409294128
0.29499998688697815,-12.994074821472168,-0.5933046936988831
0.30000001192092896,-12.974286079406738,-0.5847562551498413
0.3050000071525574,-12.916135787963867,-0.580482006072998
0.3100000023841858,-12.859491348266602,-0.5719335079193115
0.3149999976158142,-12.80521297454834,-0.5676592588424683
0.3199999928474426,-12.669116973876953,-0.5591108202934265
0.32499998807907104,-12.581928253173828,-0.5462881326675415
0.33000001311302185,-12.509343147277832,-0.5420138835906982
0.33500000834465027,-12.446109771728516,-0.52491694688797
0.3400000035762787,-12.33517837524414,-0.512094259262085
0.3449999988079071,-12.224066734313965,-0.4992715120315552
0.3499999940395355,-12.188721656799316,-0.48644882440567017
0.35499998927116394,-12.064610481262207,-0.47362610697746277
0.36000001430511475,-11.981409072875977,-0.4565292000770569
0.36500000953674316,-11.863044738769531,-0.4394322633743286
0.3700000047683716,-11.787351608276367,-0.42233532667160034
0.375,-11.666244506835938,-0.4052383601665497
0.3799999952316284,-11.529437065124512,-0.3924156725406647
0.38499999046325684,-11.43677806854248,-0.375318706035614
0.38999998569488525,-11.33611011505127,-0.3496733009815216
0.39500001072883606,-11.204941749572754,-0.33257636427879333
0.4000000059604645,-11.045225143432617,-0.3069309592247009
0.4050000011920929,-10.920108795166016,-0.28983402252197266
0.4099999964237213,-10.808636665344238,-0.2727370858192444
0.41499999165534973,-10.621963500976562,-0.25136590003967285
0.41999998688697815,-10.480167388916016,-0.22572049498558044
0.42500001192092896,-10.330970764160156,-0.2043493241071701
0.4300000071525574,-10.201979637145996,-0.1787039190530777
0.4350000023841858,-10.086702346801758,-0.1658812165260315
0.4399999976158142,-9.9457426071167,-0.14451004564762115
0.4449999928474426,-9.842477798461914,-0.13168734312057495
0.44999998807907104,-9.664142608642578,-0.11031616479158401
0.45500001311302185,-9.570125579833984,-0.08467075228691101
0.46000000834465027,-9.421486854553223,-0.06757381558418274
0.4650000035762787,-9.241318702697754,-0.0462026447057724
0.4699999988079071,-9.08974552154541,-0.024831468239426613
0.4749999940395355,-8.953238487243652,-0.0034602934028953314
0.47999998927116394,-8.831217765808105,0.02218511514365673
0.48500001430511475,-8.681208610534668,0.04783052206039429
0.49000000953674316,-8.575108528137207,0.06920170038938522
0.4950000047683716,-8.44656753540039,0.08202440291643143
0.5,-8.343147277832031,0.10766980797052383
