Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.0099999997764825,-0.1864502357045994,0.008274792222710527,-0.6678663749923927,0.1608071213510668
0.0199999995529651,-0.11825262771051981,0.004925452633233927,-0.67624613239672,0.27339379842549927
0.0299999993294477,-0.18632339702051737,0.0014626649156531252,-0.6812229414215308,0.38103323037892944
0.0399999991059303,-0.11647783980768778,-0.005365037830142173,-0.680851902507804,0.7131353801038898
0.050000000745058,0.3181710316141262,-0.012000122578410273,-0.6615940590133887,0.921626645877663
0.0599999986588954,0.38652706875401877,-0.018825979442862677,-0.6806663532486182,1.26368572171003
0.0700000002980232,0.43797636761266134,-0.025449988903073477,-0.6604808826675636,1.7190232461240926
0.0799999982118606,0.5063007248838558,-0.031864759983090574,-0.6395532746544105,2.1917516177442704
0.0900000035762786,0.5577817036111965,-0.03788415110257067,-0.6000170369377357,2.6465417331007157
0.1000000014901161,0.6086764110525265,-0.04369245982315937,-0.5789038796653968,2.9658774321821366
0.1099999994039535,0.6432188822229519,-0.049097073735264875,-0.5385328192939979,3.3971482699659505
0.1199999973177909,0.6858265174825802,-0.05409800028946798,-0.49816169931795423,3.6204086726453935
0.1299999952316284,0.7202580793102398,-0.05869523203518787,-0.45779066874887764,3.873000044181648
0.1400000005960464,0.7711527718504085,-0.06290170318034088,-0.4187183041801673,4.044851440742318
0.1500000059604644,0.7882655484874859,-0.06687861448672217,-0.3957498629322273,4.294053692176644
0.1599999964237213,0.8053783400257245,-0.07026475435641208,-0.3366774876346809,4.420391220405404
0.1700000017881393,0.8224911241133823,-0.07323151594546237,-0.2947294671764594,4.509688991859261
0.1800000071525573,0.8307781515916005,-0.07560934639122877,-0.23584264113809883,4.5619455760267416
0.1899999976158142,0.8307781515916005,-0.07756595826294818,-0.19370904161836922,4.593258995368783
0.2000000029802322,0.8393186925252095,-0.07893548673537176,-0.13500772013571083,4.742235321357552
0.209999993443489,0.8307781515916005,-0.07990132039931216,-0.09463667466547311,4.734474319770638
0.2199999988079071,0.8307781515916005,-0.08046345925476947,-0.05426562174465481,4.826652187660042
0.2300000041723251,0.8215087203581943,-0.08062191075232428,-0.013894557647965511,4.918830055549447
0.2399999946355819,0.7876634372671261,-0.08033235883858597,0.030929193205572886,5.00084175522596
0.25,0.7701545281608715,-0.07928156620409887,0.10703309283349689,5.002959865882699
0.2599999904632568,0.7448814584215298,-0.07780308044102588,0.14981602535340957,5.0125843470838705
0.270000010728836,0.7183725161750927,-0.07571905619051847,0.21037263081166918,4.9366895144727865
0.2800000011920929,0.6674778236349239,-0.07305533951666748,0.2683318297633904,4.7202073519972005
0.2899999916553497,0.624252177615942,-0.06998793548491397,0.30870286033246686,4.501454014137093
0.3000000119209289,0.5814543737371578,-0.06651683664467728,0.34907389090154345,4.084416527107064
0.3100000023841858,0.5215754879911556,-0.06264204299595746,0.38944498107526476,3.8131860678938065
0.3199999928474426,0.4697300566633358,-0.058393103541401974,0.42684755132291485,3.4818877166059647
0.3300000131130218,0.4103423429926052,-0.05388138210919297,0.4531555514106529,3.2550686782148515
0.3400000035762787,0.349924750467123,-0.04885829007771408,0.504250202632882,2.996970552757088
0.3499999940395355,0.2814736439188137,-0.04377057171013748,0.5107436518440026,2.741837400749031
0.3600000143051147,0.22213346495229147,-0.038312406749991576,0.5477752427825707,2.493024725272957
0.3700000047683716,0.16166830792027853,-0.032618218572405974,0.5713929872283715,2.1949204390791097
0.3799999952316284,0.09321714176732443,-0.02659052005556027,0.6047140102157372,1.8654180949476398
0.3899999856948852,0.016225464483083818,-0.020526809157399274,0.6083318333396691,1.4862684195783769
0.4000000059604645,-0.043685130933939,-0.014261250854996771,0.6285173635253686,1.1875033562925494
0.4099999964237213,-0.11213635669153788,-0.007831701548365773,0.6448995809325951,0.7116514628675616
0.4199999868869781,-0.1812528298894751,-0.0014021559670249727,0.6448995809325951,0.22585325296193723
0.4300000071525574,-0.2575949357549534,0.005027391476961025,0.6448995809325951,-0.32036901657312744
0.4399999976158142,-0.3168084548513279,0.011456940783592126,0.6448995809325951,-0.7189031655046307
0.449999988079071,-0.3766871617833958,0.017844936339589026,0.6407251696357507,-1.2160372549745402
0.4600000083446502,-0.4287544415990696,0.024031086586820027,0.6205396394500512,-1.612775426551994
0.4699999988079071,-0.4964609073202,0.029971992126138925,0.5959941487083215,-1.89579914157122
0.4799999892711639,-0.5477992223302708,0.03559784544113473,0.5645284394988793,-2.1598619038316573
0.4900000095367431,-0.5991376565496311,0.041133210523458225,0.5554375390777367,-2.5018354469987716
0.5,-0.6411431954900608,0.04631104925129013,0.5197046737441796,-2.798296075508293
0.5099999904632568,-0.683909170488535,0.05128704430017063,0.4995191733608025,-3.0595630223008956
0.5199999809265137,-0.718958728174387,0.05606118821951943,0.47933364317510296,-3.3825923020097575
0.5299999713897705,-0.7600769923726902,0.06053560831996992,0.449315104938485,-3.6910329872819743
0.5400000214576721,-0.7857303546468601,0.06445435294363092,0.39376780793759997,-4.0001343304368815
0.550000011920929,-0.8037146256963597,0.06796940275880883,0.35339671776387865,-4.212447982475456
0.5600000023841858,-0.8285123036901341,0.07102905446145133,0.3078308741817253,-4.45522866790026
0.5699999928474426,-0.8447219060460911,0.07353579485270573,0.25256187126729657,-4.542577605888542
0.5799999833106995,-0.8456410096685276,0.07563884043547703,0.21219079599473648,-4.577008586570915
0.5899999737739563,-0.8618187831441746,0.07733819493505553,0.17181973562333758,-4.543255191490348
0.6000000238418579,-0.8523275779287207,0.07857845955941273,0.12588280842397379,-4.601747852012809
0.6100000143051147,-0.8437553571264134,0.07932582729909013,0.07664348588082959,-4.630519252464469
0.6200000047683716,-0.8266425059835301,0.07975684711191253,0.04495516822431259,-4.722595554039176
0.6299999952316284,-0.8105280326406346,0.07964050629589153,-0.009757267937622612,-4.912289004966911
0.6399999856948853,-0.7999592946569309,0.07906137266609262,-0.05606524988319691,-5.060858112022575
0.6499999761581421,-0.7667636798421726,0.07793671870085793,-0.11059215261843021,-5.0572656208726725
0.6600000262260437,-0.7390187905828343,0.07634742790314743,-0.1570856679907066,-5.013142448112663
0.6700000166893005,-0.6972825454274998,0.07415260234329293,-0.2176422734489661,-4.915237765953239
0.6800000071525574,-0.6630570815603123,0.07135223084542343,-0.27819886400606453,-4.6271813923570475
0.6899999976158142,-0.6191975997487889,0.06807374441477852,-0.3259539563884956,-4.278701644584831
0.699999988079071,-0.5678591655294287,0.06452877679321362,-0.3526329953899604,-3.8902658039781417
0.7099999785423279,-0.5165208505193579,0.06058011436316563,-0.3930040557613593,-3.5527995640489425
0.7200000286102295,-0.4640417026082859,0.05629424238059113,-0.42669602825548475,-3.1839524323198165
0.7300000190734863,-0.39674722419184305,0.05180652485642033,-0.4468815882435066,-2.8830352837297286
0.7400000095367432,-0.34540890918177225,0.04711695992800782,-0.4670670886268836,-2.687258821174797
0.75,-0.29288219676416993,0.04215629631135062,-0.4942099709739906,-2.525811772987541
0.7599999904632568,-0.2244310306112156,0.036862111179562326,-0.5275309343567115,-2.2934688145372237
0.7699999809265137,-0.16574048266810038,0.03136608236882282,-0.547716464542411,-2.0764947945329513
0.7799999713897705,-0.10462569461268045,0.025668205688180425,-0.5679019947281104,-1.780135970756706
0.7900000214576721,-0.03742628560465422,0.019768482767449826,-0.5880875249138099,-1.4349090868684613
0.800000011920929,0.015179641385854592,0.013740782155128325,-0.6008519191971046,-1.0594194943162762
0.8100000023841858,0.08363086714345358,0.007638289122315326,-0.6083657999267799,-0.6448219234201276
0.8199999928474426,0.1435414029558315,0.0014853817358931251,-0.613338019393943,-0.21172102932661407
0.8299999833106995,0.21067739262181662,-0.004542318643597772,-0.6008519191971046,0.17542647178441642
0.8399999737739563,0.2620157672365322,-0.010570020885733777,-0.6008519191971046,0.5839240139272845
0.8500000238418579,0.3218946529825344,-0.016597723127869772,-0.6008519191971046,1.0263781731870805
0.8600000143051147,0.38313622011739157,-0.022466605068711377,-0.584896411441825,1.454260248496834
0.8700000047683716,0.43312770857411764,-0.028092460246352376,-0.5606663484802467,1.8303600734022298
0.8799999952316284,0.49300665392476467,-0.03363705566671287,-0.5525031347503883,2.1994785254743725
0.8899999856948853,0.5358044578035488,-0.03889763122942847,-0.5240615267982703,2.570715326621834
0.8999999761581421,0.585716701885046,-0.04375450825837058,-0.4836904664268714,2.8428095763471757
0.9100000262260436,0.611401744027914,-0.04829171812680167,-0.4517610032787544,3.08247222359449
0.9200000166893004,0.6541678680380001,-0.05254213279631537,-0.4230411608448249,3.3143404906538163
0.9300000071525574,0.6783793045480861,-0.05638886010792648,-0.38267010047342603,3.5198093837049638
0.9399999976158142,0.7040326221187725,-0.05991868442442807,-0.35101887180712044,3.6723097747114335
0.949999988079071,0.7311912400921001,-0.06315894192603028,-0.32202073528673475,3.7909718936231767
0.959999978542328,0.7468145860632076,-0.06590685761120718,-0.27274429395105665,3.887487549140755
0.9700000286102296,0.7623903973301067,-0.06822837656882208,-0.23018398477938,3.992102760627571
