Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.009999999776482582,-1.1300698518753052,-0.013682056218385696,-0.669797420501709,0.22480615973472595
0.019999999552965164,-1.0618722438812256,-0.017031395807862282,-0.6781771779060364,0.3373928368091583
0.029999999329447746,-1.1299430131912231,-0.020494183525443077,-0.6831539869308472,0.4450322687625885
0.03999999910593033,-1.0600974559783936,-0.027321886271238327,-0.6827829480171204,0.7771344184875488
0.05000000074505806,-0.6254485845565796,-0.033956971019506454,-0.6635251045227051,0.985625684261322
0.05999999865889549,-0.557092547416687,-0.040782827883958817,-0.6825973987579346,1.327684760093689
0.07000000029802322,-0.5056432485580444,-0.04740683734416962,-0.6624119281768799,1.7830222845077515
0.07999999821186066,-0.43731889128685,-0.05382160842418671,-0.6414843201637268,2.2557506561279297
0.09000000357627869,-0.3858379125595093,-0.05984099954366684,-0.601948082447052,2.710540771484375
0.10000000149011612,-0.3349432051181793,-0.06564930826425552,-0.5808349251747131,3.029876470565796
0.10999999940395355,-0.3004007339477539,-0.07105392217636108,-0.5404638648033142,3.4611473083496094
0.11999999731779099,-0.2577930986881256,-0.07605484873056412,-0.5000927448272705,3.6844077110290527
0.12999999523162842,-0.223361536860466,-0.08065208047628403,-0.45972171425819397,3.9369990825653076
0.14000000059604645,-0.17246684432029724,-0.08485855162143707,-0.42064934968948364,4.108850479125977
0.15000000596046448,-0.1553540676832199,-0.0888354629278183,-0.3976809084415436,4.358052730560303
0.1599999964237213,-0.13824127614498138,-0.09222160279750824,-0.3386085331439972,4.4843902587890625
0.17000000178813934,-0.12112849205732346,-0.09518836438655853,-0.29666051268577576,4.57368803024292
0.18000000715255737,-0.11284146457910538,-0.09756619483232498,-0.23777368664741516,4.6259446144104
0.1899999976158142,-0.11284146457910538,-0.09952280670404434,-0.19564008712768555,4.657258033752441
0.20000000298023224,-0.10430092364549637,-0.1008923351764679,-0.13693876564502716,4.806234359741211
0.20999999344348907,-0.11284146457910538,-0.10185816884040833,-0.09656772017478943,4.798473358154297
0.2199999988079071,-0.11284146457910538,-0.10242030769586563,-0.0561966672539711,4.890651226043701
0.23000000417232513,-0.12211089581251144,-0.10257875919342041,-0.015825603157281876,4.9828290939331055
0.23999999463558197,-0.1559561789035797,-0.10228920727968216,0.028998147696256638,5.064840793609619
0.25,-0.1734650880098343,-0.10123841464519501,0.1051020473241806,5.066958904266357
0.25999999046325684,-0.19873815774917603,-0.09975992888212204,0.14788497984409332,5.076583385467529
0.27000001072883606,-0.2252470999956131,-0.09767590463161469,0.2084415853023529,5.000688552856445
0.2800000011920929,-0.27614179253578186,-0.09501218795776367,0.2664007842540741,4.784206390380859
0.28999999165534973,-0.3193674385547638,-0.09194478392601013,0.30677181482315063,4.565453052520752
0.30000001192092896,-0.362165242433548,-0.08847368508577347,0.3471428453922272,4.148415565490723
0.3100000023841858,-0.42204412817955017,-0.08459889143705368,0.3875139355659485,3.877185106277466
0.3199999928474426,-0.47388955950737,-0.08034995198249817,0.42491650581359863,3.545886754989624
0.33000001311302185,-0.5332772731781006,-0.07583823055028915,0.45122450590133667,3.3190677165985107
0.3400000035762787,-0.5936948657035828,-0.07081513851881027,0.5023191571235657,3.060969591140747
0.3499999940395355,-0.6621459722518921,-0.06572742015123367,0.5088126063346863,2.8058364391326904
0.36000001430511475,-0.7214861512184143,-0.06026925519108772,0.5458441972732544,2.557023763656616
0.3700000047683716,-0.7819513082504272,-0.05457506701350212,0.5694619417190552,2.2589194774627686
0.3799999952316284,-0.8504024744033813,-0.04854736849665642,0.6027829647064209,1.9294171333312988
0.38999998569488525,-0.9273941516876221,-0.04248365759849548,0.6064007878303528,1.5502674579620361
0.4000000059604645,-0.9873047471046448,-0.03621809929609299,0.6265863180160522,1.2515023946762085
0.4099999964237213,-1.0557559728622437,-0.0297885499894619,0.6429685354232788,0.7756505012512207
0.41999998688697815,-1.1248724460601807,-0.02335900440812111,0.6429685354232788,0.2898522913455963
0.4300000071525574,-1.2012145519256592,-0.01692945696413517,0.6429685354232788,-0.2563699781894684
0.4399999976158142,-1.2604280710220337,-0.010499907657504082,0.6429685354232788,-0.6549041271209717
0.44999998807907104,-1.3203067779541016,-0.004111912101507187,0.6387941241264343,-1.1520382165908813
0.46000000834465027,-1.3723740577697754,0.002074238145723939,0.6186085939407349,-1.548776388168335
0.4699999988079071,-1.4400805234909058,0.008015143685042858,0.5940631031990051,-1.831800103187561
0.47999998927116394,-1.4914188385009766,0.013640997000038624,0.562597393989563,-2.095862865447998
0.49000000953674316,-1.542757272720337,0.019176362082362175,0.5535064935684204,-2.4378364086151123
0.5,-1.5847628116607666,0.024354200810194016,0.5177736282348633,-2.734297037124634
0.5099999904632568,-1.6275287866592407,0.029330195859074593,0.4975881278514862,-2.9955639839172363
0.5199999809265137,-1.6625783443450928,0.03410433977842331,0.47740259766578674,-3.3185932636260986
0.5299999713897705,-1.703696608543396,0.038578759878873825,0.4473840594291687,-3.6270339488983154
0.5400000214576721,-1.729349970817566,0.042497504502534866,0.3918367624282837,-3.9361352920532227
