Time (s),Ay (m/s²),Fᵧ (N),rᵧ (m)
0.009999999776482582,-3.9360852241516113,-0.4119980037212372,-0.015012966468930244
0.019999999552965164,-2.9170711040496826,-0.3352271616458893,-0.018278323113918304
0.029999999329447746,-3.914435386657715,-0.4118839204311371,-0.021883776411414146
0.03999999910593033,-2.803269863128662,-0.3340637683868408,-0.02891170233488083
0.05000000074505806,-1.3189258575439453,0.058230575174093246,-0.03593563660979271
0.05999999865889549,-0.971082866191864,0.08390449732542038,-0.0427531935274601
0.07000000029802322,-1.1036806106567383,0.1266639530658722,-0.04914521425962448
0.07999999821186066,-0.999116837978363,0.14361262321472168,-0.0543404258787632
0.09000000357627869,-0.9981176257133484,0.152258038520813,-0.05871489644050598
0.10000000149011612,-1.185595154762268,0.16925232112407684,-0.06188776716589928
0.10999999940395355,-1.1853176355361938,0.16058409214019775,-0.06406143307685852
0.11999999731779099,-1.425199270248413,0.15229226648807526,-0.06544787436723709
0.12999999523162842,-1.5259438753128052,0.1518702507019043,-0.06639999896287918
0.14000000059604645,-1.6565098762512207,0.11765356361865997,-0.06636649370193481
0.15000000596046448,-1.8350943326950073,0.08360794931650162,-0.0657162219285965
0.1599999964237213,-2.2540600299835205,0.05777435377240181,-0.06427234411239624
0.17000000178813934,-2.5822958946228027,0.023363767191767693,-0.06221010908484459
0.18000000715255737,-2.9419074058532715,-0.01941850036382675,-0.05935584381222725
0.1899999976158142,-3.378126621246338,-0.07950300723314285,-0.055896807461977005
0.20000000298023224,-3.558809518814087,-0.14770826697349548,-0.051832981407642365
0.20999999344348907,-3.797736406326294,-0.19927282631397247,-0.04714760184288025
0.2199999988079071,-4.8282084465026855,-0.2764998972415924,-0.04167340323328972
0.23000000417232513,-4.771996021270752,-0.35323652625083923,-0.035612765699625015
0.23999999463558197,-6.19774055480957,-0.43076011538505554,-0.02914893627166748
0.25,-6.14233922958374,-0.5242971777915955,-0.022281916812062263
0.25999999046325684,-6.801719665527344,-0.6018664240837097,-0.015011701732873917
0.27000001072883606,-7.817058563232422,-0.7042085528373718,-0.0073598395101726055
0.2800000011920929,-7.413525581359863,-0.790069580078125,0.0005159577121958137
0.28999999165534973,-8.374906539916992,-0.8927196264266968,0.00879494659602642
0.30000001192092896,-9.140027046203613,-0.986142635345459,0.017453191801905632
0.3100000023841858,-9.991870880126953,-1.064179539680481,0.02628829888999462
0.3199999928474426,-9.707844734191895,-1.1746652126312256,0.03514893725514412
0.33000001311302185,-10.560164451599121,-1.2602068185806274,0.0441848449409008
0.3400000035762787,-10.922996520996094,-1.3457486629486084,0.05319362133741379
0.3499999940395355,-11.721647262573242,-1.440232276916504,0.06202872842550278
0.36000001430511475,-12.246642112731934,-1.5335185527801514,0.07083510607481003
0.3700000047683716,-12.524128913879395,-1.611338496208191,0.07943988591432571
0.3799999952316284,-13.158483505249023,-1.7041455507278442,0.08784307539463043
0.38999998569488525,-13.115050315856934,-1.7649030685424805,0.09604467451572418
0.4000000059604645,-13.691628456115723,-1.8414459228515625,0.10401276499032974
0.4099999964237213,-14.231156349182129,-1.9094115495681763,0.11157765984535217
0.41999998688697815,-14.19291877746582,-1.961215615272522,0.11873936653137207
0.4300000071525574,-14.762768745422363,-2.020125389099121,0.1254635602235794
0.4399999976158142,-14.939765930175781,-2.06288480758667,0.13158299028873444
0.44999998807907104,-14.983920097351074,-2.0885586738586426,0.13709761202335358
0.46000000834465027,-15.155942916870117,-2.12225079536438,0.14204414188861847
0.4699999988079071,-15.351937294006348,-2.13989520072937,0.1465499997138977
0.47999998927116394,-15.406783103942871,-2.1735644340515137,0.15041276812553406
0.49000000953674316,-15.222736358642578,-2.1821298599243164,0.15354733169078827
0.5,-15.135358810424805,-2.1895549297332764,0.15619894862174988
0.5099999904632568,-15.039443969726562,-2.1815707683563232,0.15804414451122284
0.5199999809265137,-14.916539192199707,-2.180384635925293,0.1591244488954544
0.5299999713897705,-14.733735084533691,-2.146772623062134,0.1596422791481018
0.5400000214576721,-14.567463874816895,-2.129664421081543,0.15962764620780945
0.550000011920929,-14.216944694519043,-2.1033859252929688,0.15869282186031342
0.5600000023841858,-13.768379211425781,-2.059987783432007,0.1571531891822815
0.5699999928474426,-13.71323299407959,-2.0086629390716553,0.15496329963207245
0.5799999833106995,-13.250080108642578,-1.9652190208435059,0.15196703374385834
0.5899999737739563,-13.058794021606445,-1.8981314897537231,0.1482585221529007
0.6000000238418579,-12.481904983520508,-1.8533189296722412,0.14409895241260529
0.6100000143051147,-11.807104110717773,-1.7684730291366577,0.1392858922481537
0.6200000047683716,-11.568487167358398,-1.7000396251678467,0.13376541435718536
0.6299999952316284,-10.816245079040527,-1.6316062211990356,0.1278417557477951
0.6399999856948853,-10.421439170837402,-1.5531702041625977,0.1214638352394104
0.6499999761581421,-10.069843292236328,-1.460545539855957,0.11453298479318619
0.6600000262260437,-9.785062789916992,-1.382063865661621,0.1072515994310379
0.6700000166893005,-8.954692840576172,-1.2801780700683594,0.09971515834331512
0.6800000071525574,-8.860520362854004,-1.203179121017456,0.09177552908658981
0.6899999976158142,-8.348393440246582,-1.117637276649475,0.0835428237915039
0.699999988079071,-7.4492645263671875,-1.0235528945922852,0.07525425404310226
0.7099999785423279,-7.096858501434326,-0.9372013807296753,0.06676409393548965
0.7200000286102295,-6.6511359214782715,-0.8447364568710327,0.05812978744506836
0.7300000190734863,-5.699469566345215,-0.7575523257255554,0.04955371841788292
0.7400000095367432,-5.537461280822754,-0.6728317737579346,0.041061170399188995
0.75,-4.848581314086914,-0.5787473320960999,0.032486699521541595
0.7599999904632568,-4.2478227615356445,-0.5111579298973083,0.02411382831633091
0.7699999809265137,-4.1034674644470215,-0.4247608482837677,0.01594255305826664
0.7799999713897705,-3.756490468978882,-0.3486514687538147,0.007910638116300106
0.7900000214576721,-3.484055995941162,-0.28111913800239563,0.00006781898264307529
0.800000011920929,-2.8075110912323,-0.22033889591693878,-0.007297872100025415
0.8100000023841858,-2.534432888031006,-0.1613721400499344,-0.014397339895367622
0.8199999928474426,-2.1612093448638916,-0.11952512711286545,-0.021093618124723434
0.8299999833106995,-2.1972150802612305,-0.07581900805234909,-0.027320479974150658
0.8399999737739563,-1.8890748023986816,-0.0330367386341095,-0.03300957381725311
0.8500000238418579,-1.7124000787734985,0.01731881871819496,-0.03822765871882439
0.8600000143051147,-1.8440762758255005,0.042992740869522095,-0.04284095764160156
0.8700000047683716,-1.4626816511154175,0.0752248615026474,-0.04684946686029434
0.8799999952316284,-1.489660620689392,0.08477132022380829,-0.05025319382548332
0.8899999856948853,-1.5871411561965942,0.09333689510822296,-0.05305212736129761
0.8999999761581421,-1.6968343257904053,0.09984946995973587,-0.05517446994781494
0.9100000262260437,-1.8837456703186035,0.0912838876247406,-0.05656303092837334
0.9200000166893005,-1.84830641746521,0.0752248615026474,-0.057420216500759125
0.9300000071525574,-2.0711123943328857,0.06562137603759766,-0.05772579461336136
0.9399999976158142,-2.3238284587860107,0.04744091257452965,-0.05729999765753746
0.949999988079071,-2.667496919631958,0.014307750388979912,-0.056269414722919464
